date,station,s5p_co,s5p_no2,s5p_o3,s5p_so2
2023-01-01,bundaran hotel indonesia,,7.532459661501615e-05,0.1203939578778049,
2023-01-01,jagakarsa,,,0.1205663813742514,
2023-01-01,jalan bdn ii,,7.040761358058458e-05,0.1188171555757961,
2023-01-01,kebon jeruk,,7.532459661501615e-05,0.1203939578778049,
2023-01-01,kelapa gading,,6.953471787971833e-05,0.1204102001501282,
2023-01-01,komp angkasa pura jakarta pusat,,6.953471787971833e-05,0.1204102001501282,
2023-01-01,lubang buaya,,7.826022601925621e-05,0.1197283576133639,
2023-01-01,us consulate jakarta pusat,,6.953471787971833e-05,0.1204102001501282,
2023-01-02,bundaran hotel indonesia,,9.659859090242902e-05,0.1193634755120803,
2023-01-02,jagakarsa,,7.787619692440912e-05,0.119610054766587,
2023-01-02,jalan bdn ii,,,0.1201948946778905,
2023-01-02,kebon jeruk,,9.659859090242902e-05,0.1193634755120803,
2023-01-02,kelapa gading,,6.349831478858377e-05,0.1198563605567763,
2023-01-02,komp angkasa pura jakarta pusat,,6.349831478858377e-05,0.1198563605567763,
2023-01-02,lubang buaya,,,0.1204724424279093,
2023-01-02,us consulate jakarta pusat,,6.349831478858377e-05,0.1198563605567763,
2023-01-03,bundaran hotel indonesia,,,0.1202552902112871,
2023-01-03,jagakarsa,,,0.1209364552658999,
2023-01-03,jalan bdn ii,,,0.119809397823904,
2023-01-03,kebon jeruk,,,0.1202552902112871,
2023-01-03,kelapa gading,,,0.1208728161520976,
2023-01-03,komp angkasa pura jakarta pusat,,,0.1208728161520976,
2023-01-03,lubang buaya,,,0.1198204235766481,
2023-01-03,us consulate jakarta pusat,,,0.1208728161520976,
2023-01-04,bundaran hotel indonesia,,0.00014010178338322234,0.1189938628768197,
2023-01-04,jagakarsa,,0.00012721786515525063,0.1186521892959698,
2023-01-04,jalan bdn ii,,8.469127928741517e-05,0.1189145761427632,
2023-01-04,kebon jeruk,,0.00014010178338322234,0.1189938628768197,
2023-01-04,kelapa gading,,0.00013201589109565617,0.1192773201085346,
2023-01-04,komp angkasa pura jakarta pusat,,0.00013201589109565617,0.1192773201085346,
2023-01-04,lubang buaya,,8.915422870267067e-05,0.1179698490827143,
2023-01-04,us consulate jakarta pusat,,0.00013201589109565617,0.1192773201085346,
2023-01-05,bundaran hotel indonesia,0.0329391707035304,0.0001227448677810382,0.1195195759431693,0.00017017980035296008
2023-01-05,jagakarsa,0.0314201479003771,9.701840667235309e-05,0.1194355393063612,0.00017017980035296008
2023-01-05,jalan bdn ii,0.0340492414716917,8.862334460491975e-05,0.1186825447109057,-2.5e-05
2023-01-05,kebon jeruk,0.0329391707035304,0.0001227448677810382,0.1195195759431693,0.00012637733596753496
2023-01-05,kelapa gading,0.0328507158451297,0.00010802914634372264,0.1199796305709655,0.0003622169522977515
2023-01-05,komp angkasa pura jakarta pusat,0.0328507158451297,0.00010802914634372264,0.1199796305709655,0.00017017980035296008
2023-01-05,lubang buaya,0.0320607217947242,0.00011687441392594108,0.1190024613992044,
2023-01-05,us consulate jakarta pusat,0.0328507158451297,0.00010802914634372264,0.1199796305709655,0.00017017980035296008
2023-01-06,bundaran hotel indonesia,0.0265619306189663,4.742528074129644e-05,0.1187053347521794,-0.0002
2023-01-06,jagakarsa,0.025017817614682,7.016199292439357e-05,0.1194227041309237,-0.0002
