system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
0_0,1,-6.36456378798681,106.88604408096127,0.03454909683780363,8.462390634476487E-5,0.11677133850402897,8.326221931979991E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.36456378798681]}"
1_0,1,-6.36456378798681,106.89502723380247,0.03453419807422364,8.298189662918535E-5,0.11675921950742094,6.823417077681224E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.36456378798681]}"
2_0,1,-6.36456378798681,106.91299353948486,0.034300705922244934,8.105624593173914E-5,0.11675361949403378,6.911993439789065E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.36456378798681]}"
3_0,1,-6.355580635145615,106.79621255254932,0.034511586926111504,8.292941973564842E-5,0.11675541219973413,8.335028868291447E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.355580635145615]}"
4_0,1,-6.355580635145615,106.80519570539052,0.03452731119323968,8.726822761902502E-5,0.11675707338346886,9.751505249369361E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.355580635145615]}"
5_0,1,-6.355580635145615,106.81417885823171,0.03478108332578435,8.704327421331402E-5,0.11663903370706905,6.861766191848123E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.355580635145615]}"
6_0,1,-6.355580635145615,106.82316201107291,0.03482495227959089,8.839966337512988E-5,0.11676143540392182,8.50033561722001E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.355580635145615]}"
7_0,1,-6.355580635145615,106.87706092812007,0.03452031361829063,8.890785297930589E-5,0.11688502503345477,6.826814135494815E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.355580635145615]}"
8_0,1,-6.355580635145615,106.88604408096127,0.03476597213476578,8.710406221601385E-5,0.11688404770708123,6.841302083428377E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.355580635145615]}"
9_0,1,-6.355580635145615,106.89502723380247,0.034509782463538606,8.698145190586097E-5,0.11676043932820929,7.137731693780352E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.355580635145615]}"
10_0,1,-6.355580635145615,106.90401038664366,0.03455672075962916,8.878232612249127E-5,0.1167647110166461,6.819900023385886E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.355580635145615]}"
11_0,1,-6.355580635145615,106.91299353948486,0.03433069133895333,8.661238856180951E-5,0.11676529399430878,5.061953033849135E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.355580635145615]}"
12_0,1,-6.34659748230442,106.79621255254932,0.03477425279730972,8.71850362772793E-5,0.1167550938886981,9.921386511630283E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.34659748230442]}"
13_0,1,-6.34659748230442,106.80519570539052,0.03478885337966159,8.847376906749056E-5,0.116757154881026,9.863152257446714E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.34659748230442]}"
14_0,1,-6.34659748230442,106.81417885823171,0.03476525584500416,8.827520684033302E-5,0.11674982098371388,9.034844095396827E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.34659748230442]}"
15_0,1,-6.34659748230442,106.82316201107291,0.0348055437850739,8.993587471190097E-5,0.11676762701813381,1.142304304414344E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.34659748230442]}"
16_0,1,-6.34659748230442,106.83214516391409,0.034788184756130255,9.147625385257E-5,0.11675592900371312,6.964806670932918E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.34659748230442]}"
17_0,1,-6.34659748230442,106.85909462243768,0.03502215637385605,9.266164848090325E-5,0.11676048927386258,7.560555569678009E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.34659748230442]}"
18_0,1,-6.34659748230442,106.86807777527888,0.03477281561078039,9.233674050076019E-5,0.11676351063487285,6.860120685806075E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.34659748230442]}"
19_0,1,-6.34659748230442,106.87706092812007,0.03454348856312947,9.299126379635025E-5,0.11677878417148584,6.149047854378432E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.34659748230442]}"
