system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
0_0,1,-6.36456378798681,106.88604408096127,0.035409374822847395,9.167052191764866E-5,0.11579571075976264,9.524546861953102E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.36456378798681]}"
1_0,1,-6.36456378798681,106.89502723380247,0.035530271086114756,9.120076694240602E-5,0.11560954898587841,9.388420585303615E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.36456378798681]}"
2_0,1,-6.36456378798681,106.91299353948486,0.03499657754097991,8.444787412444697E-5,0.1155095488439654,9.29787023812182E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.36456378798681]}"
3_0,1,-6.355580635145615,106.79621255254932,0.036218584625885904,8.30209853586464E-5,0.115547939234216,2.2302674187831258E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.355580635145615]}"
4_0,1,-6.355580635145615,106.80519570539052,0.036503167822935126,8.52202315331795E-5,0.1156123351983324,1.9137407070945634E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.355580635145615]}"
5_0,1,-6.355580635145615,106.81417885823171,0.03677584617326658,8.531904511602042E-5,0.11565522402152162,2.0763039756114166E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.355580635145615]}"
6_0,1,-6.355580635145615,106.82316201107291,0.03620182985951137,8.706695124463938E-5,0.11571390499485532,2.213801414153035E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.355580635145615]}"
7_0,1,-6.355580635145615,106.87706092812007,0.03541107348658708,9.108912947023879E-5,0.11572578945205007,9.435667016064581E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.355580635145615]}"
8_0,1,-6.355580635145615,106.88604408096127,0.03553345377579277,9.053895337288966E-5,0.11563272174795884,9.399058222139294E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.355580635145615]}"
9_0,1,-6.355580635145615,106.89502723380247,0.03551149110652697,9.290302222152588E-5,0.11552180405121665,1.1131546354378799E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.355580635145615]}"
10_0,1,-6.355580635145615,106.90401038664366,0.03499072671896621,9.120162129827552E-5,0.11544063417345655,9.524934284841349E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.355580635145615]}"
11_0,1,-6.355580635145615,106.91299353948486,0.035013023216276785,9.126921117459023E-5,0.11553693378274679,8.429502850062831E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.355580635145615]}"
12_0,1,-6.34659748230442,106.79621255254932,0.03621634338821246,9.449748885645491E-5,0.11548040198500496,1.5468032506772906E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.34659748230442]}"
13_0,1,-6.34659748230442,106.80519570539052,0.0362573564747134,9.39095474920493E-5,0.11549548955972005,1.6170627161536227E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.34659748230442]}"
14_0,1,-6.34659748230442,106.81417885823171,0.03620182909074417,8.5682447287418E-5,0.11554495979263923,1.747492569849398E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.34659748230442]}"
15_0,1,-6.34659748230442,106.82316201107291,0.035805559636707146,8.606667688576925E-5,0.11554191574794433,2.0286177145315595E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.34659748230442]}"
16_0,1,-6.34659748230442,106.83214516391409,0.03580131106077107,8.606667688596035E-5,0.11577131673363229,2.2246877051693105E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.34659748230442]}"
17_0,1,-6.34659748230442,106.85909462243768,0.03579640911789535,9.336824040986566E-5,0.1157731382886528,1.0404191561968337E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.34659748230442]}"
18_0,1,-6.34659748230442,106.86807777527888,0.03563658292351743,9.125687597198184E-5,0.11581706565659235,1.0081303564828353E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.34659748230442]}"
19_0,1,-6.34659748230442,106.87706092812007,0.035382069042427626,9.248571988663982E-5,0.11573769100791506,1.0073924204320517E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.34659748230442]}"
20_0,1,-6.34659748230442,106.88604408096127,0.03564844715104315,9.250952662275494E-5,0.11552420953631731,9.92365553050187E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.34659748230442]}"
21_0,1,-6.34659748230442,106.89502723380247,0.035518313631914614,9.184132770438989E-5,0.11538914545657337,1.0615403823729595E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.34659748230442]}"
