id,data_period,date,station_key,PM10,PM25,SO2,CO,O3,NO2,max,critical_pol,category
1,202301,1/1/2023,Bundaran Hotel Indonesia,44,55,47,10,24,9,55,PM25,MEDIUM
2,202301,1/2/2023,Bundaran Hotel Indonesia,32,43,52,9,24,8,52,SO2,MEDIUM
3,202301,1/3/2023,Bundaran Hotel Indonesia,31,35,49,9,12,7,49,SO2,GOOD
4,202301,1/4/2023,Bundaran Hotel Indonesia,30,47,53,11,15,9,53,SO2,MEDIUM
5,202301,1/5/2023,Bundaran Hotel Indonesia,38,50,50,13,26,11,50,PM25,GOOD
6,202301,1/6/2023,Bundaran Hotel Indonesia,31,48,45,10,13,7,48,PM25,GOOD
7,202301,1/7/2023,Bundaran Hotel Indonesia,25,42,44,10,9,5,44,SO2,GOOD
8,202301,1/8/2023,Bundaran Hotel Indonesia,28,49,47,11,9,4,49,PM25,GOOD
9,202301,1/9/2023,Bundaran Hotel Indonesia,25,39,48,10,12,5,48,SO2,GOOD
10,202301,1/10/2023,Bundaran Hotel Indonesia,37,44,45,11,21,8,45,SO2,GOOD
11,202301,1/11/2023,Bundaran Hotel Indonesia,42,65,47,13,25,10,65,PM25,MEDIUM
12,202301,1/12/2023,Bundaran Hotel Indonesia,53,69,49,12,28,13,69,PM25,MEDIUM
13,202301,1/13/2023,Bundaran Hotel Indonesia,57,78,47,11,26,18,78,PM25,MEDIUM
14,202301,1/14/2023,Bundaran Hotel Indonesia,51,70,45,11,31,14,70,PM25,MEDIUM
15,202301,1/15/2023,Bundaran Hotel Indonesia,46,57,44,11,24,7,57,PM25,MEDIUM
16,202301,1/16/2023,Bundaran Hotel Indonesia,34,40,42,11,11,6,42,SO2,GOOD
17,202301,1/17/2023,Bundaran Hotel Indonesia,40,52,45,12,9,6,52,PM25,MEDIUM
18,202301,1/18/2023,Bundaran Hotel Indonesia,55,71,55,12,10,11,71,PM25,MEDIUM
19,202301,1/19/2023,Bundaran Hotel Indonesia,53,63,53,11,9,10,63,PM25,MEDIUM
20,202301,1/20/2023,Bundaran Hotel Indonesia,42,57,51,10,12,9,57,PM25,MEDIUM
21,202301,1/21/2023,Bundaran Hotel Indonesia,42,59,-,9,10,20,59,PM25,MEDIUM
22,202301,1/22/2023,Bundaran Hotel Indonesia,37,46,-,7,11,17,46,PM25,GOOD
23,202301,1/23/2023,Bundaran Hotel Indonesia,21,32,-,6,13,12,32,PM25,GOOD
24,202301,1/24/2023,Bundaran Hotel Indonesia,29,39,-,7,10,20,39,PM25,GOOD
25,202301,1/25/2023,Bundaran Hotel Indonesia,30,50,56,6,10,16,56,SO2,MEDIUM
26,202301,1/26/2023,Bundaran Hotel Indonesia,41,45,45,8,11,20,45,PM25,GOOD
27,202301,1/27/2023,Bundaran Hotel Indonesia,47,56,44,11,21,25,56,PM25,MEDIUM
28,202301,1/28/2023,Bundaran Hotel Indonesia,33,45,41,8,14,27,45,PM25,GOOD
29,202301,1/29/2023,Bundaran Hotel Indonesia,50,60,43,10,20,26,60,PM25,MEDIUM
30,202301,1/30/2023,Bundaran Hotel Indonesia,37,56,44,9,21,27,56,PM25,MEDIUM
31,202301,1/31/2023,Bundaran Hotel Indonesia,50,65,55,9,16,30,65,PM25,MEDIUM
32,202302,2/1/2023,Bundaran Hotel Indonesia,-,-,-,-,-,-,0,,TIDAK ADA DATA
33,202302,2/2/2023,Bundaran Hotel Indonesia,-,-,-,-,-,-,0,,TIDAK ADA DATA
34,202302,2/3/2023,Bundaran Hotel Indonesia,28,42,50,5,21,24,50,SO2,GOOD
