system:index,satellite_sat,date,name,pollutant,station_id,.geo
20230101T050749_20230103T111249_0_0,7.532459661501615E-5,1/1/2023,Bundaran Hotel Indonesia,NO2_sat,Bundaran Hotel Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230101T050749_20230103T111249_2_0,7.040761358058458E-5,1/1/2023,Jalan BDN II,NO2_sat,Jalan BDN II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.321931284266583]}"
20230101T050749_20230103T111249_3_0,7.532459661501615E-5,1/1/2023,Kebon Jeruk,NO2_sat,Kebon Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230101T050749_20230103T111249_4_0,6.953471787971833E-5,1/1/2023,Kelapa Gading,NO2_sat,Kelapa Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230101T050749_20230103T111249_5_0,6.953471787971833E-5,1/1/2023,Komp Angkasa Pura Jakarta Pusat,NO2_sat,Komp Angkasa Pura Jakarta Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230101T050749_20230103T111249_6_0,7.826022601925621E-5,1/1/2023,Lubang Buaya,NO2_sat,Lubang Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.321931284266583]}"
20230101T050749_20230103T111249_7_0,6.953471787971833E-5,1/1/2023,US Consulate Jakarta Pusat,NO2_sat,US Consulate Jakarta Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230102T044849_20230103T211921_0_0,9.659859090242902E-5,1/2/2023,Bundaran Hotel Indonesia,NO2_sat,Bundaran Hotel Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230102T044849_20230103T211921_1_0,7.787619692440912E-5,1/2/2023,Jagakarsa,NO2_sat,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.142268227442685]}"
20230102T044849_20230103T211921_3_0,9.659859090242902E-5,1/2/2023,Kebon Jeruk,NO2_sat,Kebon Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230102T044849_20230103T211921_4_0,6.349831478858377E-5,1/2/2023,Kelapa Gading,NO2_sat,Kelapa Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230102T044849_20230103T211921_5_0,6.349831478858377E-5,1/2/2023,Komp Angkasa Pura Jakarta Pusat,NO2_sat,Komp Angkasa Pura Jakarta Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230102T044849_20230103T211921_7_0,6.349831478858377E-5,1/2/2023,US Consulate Jakarta Pusat,NO2_sat,US Consulate Jakarta Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230104T055220_20230105T221612_0_0,1.4010178338322234E-4,1/4/2023,Bundaran Hotel Indonesia,NO2_sat,Bundaran Hotel Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230104T055220_20230105T221612_1_0,1.2721786515525063E-4,1/4/2023,Jagakarsa,NO2_sat,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.142268227442685]}"
20230104T055220_20230105T221612_2_0,8.469127928741517E-5,1/4/2023,Jalan BDN II,NO2_sat,Jalan BDN II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.321931284266583]}"
20230104T055220_20230105T221612_3_0,1.4010178338322234E-4,1/4/2023,Kebon Jeruk,NO2_sat,Kebon Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230104T055220_20230105T221612_4_0,1.3201589109565617E-4,1/4/2023,Kelapa Gading,NO2_sat,Kelapa Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230104T055220_20230105T221612_5_0,1.3201589109565617E-4,1/4/2023,Komp Angkasa Pura Jakarta Pusat,NO2_sat,Komp Angkasa Pura Jakarta Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230104T055220_20230105T221612_6_0,8.915422870267067E-5,1/4/2023,Lubang Buaya,NO2_sat,Lubang Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.321931284266583]}"
20230104T055220_20230105T221612_7_0,1.3201589109565617E-4,1/4/2023,US Consulate Jakarta Pusat,NO2_sat,US Consulate Jakarta Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87698598356911,-6.142268227442685]}"
20230105T053321_20230106T215356_0_0,1.227448677810382E-4,1/5/2023,Bundaran Hotel Indonesia,NO2_sat,Bundaran Hotel Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.232099755854634]}"
20230105T053321_20230106T215356_1_0,9.701840667235309E-5,1/5/2023,Jagakarsa,NO2_sat,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.142268227442685]}"
20230105T053321_20230106T215356_2_0,8.862334460491975E-5,1/5/2023,Jalan BDN II,NO2_sat,Jalan BDN II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78715445515718,-6.321931284266583]}"
